id;kod_efektu;opis
1;K2INF_W01;Ma rozszerzoną i pogłębioną wiedzę z zakresu matematyki, fizyki lub chemii przydatną do formułowania i rozwiązywania złożonych zadań z zakresu informatyki
2;K2INF_W02;Ma szczegółową wiedzę w zakresie kierunków studiów powiązanych z kierunkiem informatyka
3;K2INF_W03;Ma uporządkowaną, podbudowaną teoretycznie kluczową wiedzę w zakresie modelowania biznesowego i specyfikacji wymagań systemów informatycznych
4;K2INF_W04;Ma uporządkowaną, podbudowaną teoretycznie kluczową wiedzę w zakresie realizacji informacyjnych systemów rozproszonych
5;K2INF_W05;Ma uporządkowaną, podbudowaną teoretycznie kluczową wiedzę w zakresie zaawansowanych metod analizy danych
6;K2INF_W07;Zna i rozumie podstawowe pojęcia i zasady ochrony własności przemysłowej i prawa autorskiego oraz potrafi korzystać z zasobów informacji patentowej
7;K2INF_W08;Zna społeczne, ekonomiczne, prawne i inne, pozatechniczne uwarunkowania działalności inżynierskiej, ma podstawową wiedzę dotyczącą zarządzania i prowadzenia działalności gospodarczej.
8;K2INF_U01;Potrafi pozyskiwać informacje z literatury, baz danych oraz innych właściwie dobranych źródeł, także w języku angielskim lub innym języku obcym
9;K2INF_U02;Potrafi porozumiewać się przy użyciu różnych technik w środowisku zawodowym oraz w innych środowiskach, także w języku angielskim lub innym języku obcym uznawanym za język komunikacji międzynarodowej w zakresie studiowanego kierunku studiów
10;K2INF_U03;Potrafi przygotować opracowanie naukowe w języku polskim i krótkie doniesienie naukowe w języku obcym, uznawanym za podstawowy dla dziedzin nauki i dyscyplin naukowych, właściwych dla studiowanego kierunku studiów
11;K2INF_U04;Ma umiejętności językowe w zakresie dziedzin nauki i dyscyplin naukowych, właściwych dla studiowanego kierunku studiów, zgodne z wymaganiami określonymi – dla jednego języka - dla poziomu B2+ oraz dla drugiego języka – poziom A1
12;K2INF_U05;Potrafi — przy formułowaniu i rozwiązywaniu zadań inżynierskich — integrować wiedzę z zakresu dziedzin nauki i dyscyplin naukowych, właściwych dla studiowanego kierunku studiów oraz zastosować podejście systemowe
13;K2INF_U06;Umie rozwiązywać zadania tworzenia modeli, analizy oraz podejmowania decyzji dla różnych typów obiektów
14;K2INF_U07;Potrafi rozwiązać złożone zadanie inżynierskie z wykorzystaniem zaawansowanych technik programistycznych
15;K2INF_K01;Potrafi myśleć i działać w sposób kreatywny i przedsiębiorczy
16;K2INF_K02;Ma świadomość roli społecznej absolwenta uczelni technicznej, a zwłaszcza rozumie potrzebę formułowania i przekazywania społeczeństwu, w szczególności poprzez środki masowego przekazu, informacji i opinii dotyczących osiągnięć techniki
17;K2INF_K03;Ma świadomość ważności i zrozumienie pozatechnicznych aspektów i skutków działalności inżyniera-informatyka, w tym jej wpływu na środowisko, i związanej z tym odpowiedzialności za podejmowane decyzje
18;K2INF_K05;Prawidłowo identyfikuje i rozstrzyga dylematy związane z wykonywaniem zawodu
