id;kod_przedmiotu;nazwa;nazwa_ang;rodzaj_przedmiotu
1;Tuna solid state Facilitator;generating user-centric Saint Helena Pound;Gorgeous digital customized;OBOWIAZKOWY
2;Sports web-readiness maximized;Officer;Brand;OGOLNOUCZELNIANY
3;Garden revolutionize;Plain enable Idaho;Soft Pants Table;OGOLNOUCZELNIANY
4;proactive driver;mission-critical;Direct virtual compressing;WYBIERALNY
5;Fantastic Cotton Salad Sleek Money Market Account;connect;SMS full-range quantify;WYBIERALNY
6;hacking Practical payment;index Malagasy Ariary;Licensed Cotton Computer infrastructure Parkways;WYBIERALNY
7;robust transmitting SQL;hacking Delaware driver;Branding vortals;OGOLNOUCZELNIANY
8;programming Prairie;HTTP Texas Sleek;Borders;OBOWIAZKOWY
9;synthesizing time-frame;revolutionize online;Walk;OBOWIAZKOWY
10;Accountability;Wooden;Lead e-services North Korean Won;OGOLNOUCZELNIANY
