id;profil_ksztalcenia;forma_studiow;kierunek;specjalnosc;wydzial;jezyk_prowadzenia_studiow;liczba_semestrow;cykl_ksztalcenia
1;PRAKTYCZNY;NIESTACJONARNE;Plains;navigate array;Future;ANGIELSKI;37444;Web Streets
2;PRAKTYCZNY;NIESTACJONARNE;communities;optimizing Well;Australian Dollar Wooden;POLSKI;12158;transmitting Tokelau Oklahoma
3;PRAKTYCZNY;STACJONARNE;human-resource Regional;Chair;Concrete Facilitator Checking Account;POLSKI;39860;transitional override modular
4;OGOLNOAKADEMICKI;NIESTACJONARNE;open architecture Extension;back-end Cotton Swiss Franc;global;ANGIELSKI;71324;Supervisor
5;OGOLNOAKADEMICKI;STACJONARNE;24/7 Vermont;deposit;Outdoors Applications Tactics;ANGIELSKI;58020;streamline
6;OGOLNOAKADEMICKI;STACJONARNE;Future holistic;Pizza white;solution-oriented e-tailers neural;POLSKI;36830;Tanzanian Shilling bandwidth Marketing
7;OGOLNOAKADEMICKI;NIESTACJONARNE;Towels scale;Infrastructure;Kroon Lari Solutions;ANGIELSKI;2425;Bike
8;PRAKTYCZNY;STACJONARNE;bandwidth empowering Soft;deliver;Kyat Human;ANGIELSKI;36950;24/365
9;OGOLNOAKADEMICKI;NIESTACJONARNE;Savings Account;Small Architect Cambridgeshire;real-time Investment Account models;ANGIELSKI;71390;Avon reboot
10;PRAKTYCZNY;STACJONARNE;Soft;Developer;Optional Robust quantifying;POLSKI;30087;Gloves program Universal
