id;forma;e_cts;z_zu;c_nps;modul_ksztalcenia;poziom_jezyka;forma_zaliczenia;czy_koncowy
1;PROJEKT;55761;61444;12221;JEZYKI_OBCE;B1;EGZAMIN;true
2;SEMINARIUM;32032;78548;83922;JEZYKI_OBCE;B2;EGZAMIN;true
3;PROJEKT;2576;57704;41270;PROFILOWY;B2;EGZAMIN;false
4;WYKLAD;28640;156;5424;PROFILOWY;C1;NA_OCENE;false
5;PROJEKT;29270;54264;33919;JEZYKI_OBCE;B2;NA_OCENE;false
6;SEMINARIUM;96067;42104;36348;ZAJECIA_SPORTOWE;A2;NA_OCENE;true
7;CWICZENIA;73835;32056;67049;MATEMATYKA;A2;NA_OCENE;false
8;SEMINARIUM;80821;11960;88269;NAUKI_SPOLECZNE_I_HUMANISTYCZNE;C1_PLUS;NA_OCENE;true
9;CWICZENIA;74482;90931;31672;ZAJECIA_SPORTOWE;C1_PLUS;EGZAMIN;true
10;LABORATORIUM;9363;25642;50357;JEZYKI_OBCE;C1;EGZAMIN;false
